City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Port Alfred,ZA,-33.5906,26.891,59.77,68,77,17.31,broken clouds
235,Naze,JP,28.3667,129.4833,78.31,88,100,14.54,overcast clouds
236,Ambilobe,MG,-13.2,49.05,73.24,74,0,0.87,clear sky
237,Nchelenge,ZM,-9.3451,28.734,75.07,47,2,5.5,clear sky
238,Hirtshals,DK,57.5881,9.9592,66.85,78,5,25.3,clear sky
239,Ejura,GH,7.3856,-1.3562,83.79,61,93,3.83,overcast clouds
240,Freeport,US,40.6576,-73.5832,89.98,60,1,1.01,clear sky
241,Urusha,RU,54.05,122.9,61.65,69,100,1.7,overcast clouds
242,Qasigiannguit,GL,68.8193,-51.1922,53.85,91,99,3.13,overcast clouds
243,Rizhao,CN,35.4275,119.4553,69.89,84,0,4.05,light rain
244,Alexandria,EG,31.2156,29.9553,85.48,57,0,13.35,clear sky
245,Fairbanks,US,64.8378,-147.7164,48.54,92,90,0.0,overcast clouds
246,Opunake,NZ,-39.4556,173.8583,49.33,63,41,17.07,scattered clouds
247,Stanilesti,RO,46.6183,28.1714,81.18,39,0,2.71,clear sky
248,Shimoda,JP,34.6667,138.95,80.71,93,100,20.31,overcast clouds
249,Sydney,AU,-33.8679,151.2073,52.63,86,0,5.75,clear sky
250,Imbituba,BR,-28.24,-48.6703,64.29,95,100,8.57,light rain
251,Tessalit,ML,20.1986,1.0114,108.52,6,7,14.29,clear sky
252,Pochutla,MX,15.7432,-96.4661,87.82,58,8,4.03,clear sky
253,Moscow,RU,55.7522,37.6156,76.55,37,99,6.69,overcast clouds
254,Lucapa,AO,-8.4192,20.7447,84.02,32,92,1.61,overcast clouds
255,Mulege,MX,26.8833,-111.9833,88.09,57,32,3.02,scattered clouds
256,Pierre,US,44.3683,-100.351,79.72,53,1,11.5,clear sky
257,Leningradskiy,RU,69.3833,178.4167,40.8,86,100,22.08,overcast clouds
258,Makakilo City,US,21.3469,-158.0858,74.28,79,20,4.61,few clouds
259,Laem Sing,TH,12.4816,102.0738,78.33,87,100,5.14,moderate rain
260,Tomatlan,MX,19.9333,-105.25,85.15,70,20,1.3,few clouds
261,Okhotsk,RU,59.3833,143.3,55.38,94,5,3.2,clear sky
262,Lavrentiya,RU,65.5833,-171.0,45.23,97,100,6.22,overcast clouds
263,Jining,CN,35.405,116.5814,70.0,83,6,3.02,light rain
264,Nome,US,64.5011,-165.4064,48.27,87,90,16.11,light rain
265,Yeppoon,AU,-23.1333,150.7333,60.58,78,0,12.68,clear sky
266,Poum,NC,-20.2333,164.0167,68.83,66,47,16.11,scattered clouds
267,Talnakh,RU,69.4865,88.3972,53.6,85,100,6.58,overcast clouds
268,Aldan,RU,58.6031,125.3894,59.92,65,15,8.68,few clouds
269,Asyut,EG,27.181,31.1837,100.58,11,0,15.05,clear sky
270,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,11.5,broken clouds
271,Maumere,ID,-8.6199,122.2111,77.13,67,5,1.86,clear sky
272,Harper,LR,4.375,-7.7169,79.92,60,80,7.18,broken clouds
273,Boa Vista,BR,2.8197,-60.6733,82.38,69,75,5.75,broken clouds
274,Muros,ES,42.7762,-9.0603,83.84,53,1,15.82,clear sky
275,Jaristea,RO,45.7833,27.0667,84.13,26,0,7.09,clear sky
276,Bilma,NE,18.6853,12.9164,104.72,12,25,5.86,scattered clouds
277,Perbaungan,ID,3.5679,98.956,77.11,92,100,2.44,overcast clouds
278,Xuddur,SO,4.1213,43.8894,82.54,45,97,20.76,overcast clouds
279,Chokurdakh,RU,70.6333,147.9167,41.29,74,100,13.02,overcast clouds
280,Conceicao Do Araguaia,BR,-8.2578,-49.2647,93.33,27,0,16.11,clear sky
281,Motril,ES,36.7507,-3.5179,118.9,50,2,3.2,clear sky
282,Bethel,US,41.3712,-73.414,86.92,88,20,4.61,few clouds
283,Tuatapere,NZ,-46.1333,167.6833,44.82,88,87,6.49,overcast clouds
284,Lompoc,US,34.6391,-120.4579,61.11,97,90,3.44,mist
285,Padang,ID,-0.9492,100.3543,77.18,92,100,7.09,overcast clouds
286,Lorengau,PG,-2.0226,147.2712,80.8,83,39,9.48,scattered clouds
287,Kilinochchi,LK,9.3961,80.3982,80.62,73,100,11.72,overcast clouds
288,Acapulco,MX,16.8634,-99.8901,84.02,70,40,3.44,scattered clouds
289,Airai,TL,-8.9266,125.4092,55.18,72,5,3.4,clear sky
290,Husavik,IS,66.0449,-17.3389,57.11,92,100,10.16,overcast clouds
291,Cooma,AU,-36.2333,149.1333,26.37,93,0,0.0,clear sky
292,Nagapattinam,IN,10.7667,79.8333,83.01,75,100,8.34,light rain
293,Jimeta,NG,9.2833,12.4667,83.77,72,60,6.33,light rain
294,Aykhal,RU,66.0,111.5,47.23,94,100,8.39,overcast clouds
295,Maragogi,BR,-9.0122,-35.2225,78.08,75,61,9.82,broken clouds
296,San Marcos,US,33.1434,-117.1661,82.24,73,1,1.01,clear sky
297,Beira,MZ,-19.8436,34.8389,69.89,88,90,14.97,light rain
298,Hilo,US,19.7297,-155.09,71.8,93,90,8.05,moderate rain
299,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.91,73,100,4.72,overcast clouds
300,Logan,US,41.7355,-111.8344,85.77,74,47,4.0,scattered clouds
301,Dryden,CA,49.7833,-92.7503,66.49,48,1,12.66,clear sky
302,Duku,NG,11.2361,4.9073,81.77,76,64,4.76,light rain
303,Kyra,RU,49.5776,111.9753,55.35,87,3,1.74,clear sky
304,Saint-Leu,RE,-21.15,55.2833,72.43,82,30,16.71,light rain
305,Te Anau,NZ,-45.4167,167.7167,42.06,98,100,6.33,overcast clouds
306,Muli,MV,2.9167,73.5667,82.85,75,22,18.59,few clouds
307,Ixtapa,MX,20.7,-105.2,83.23,74,75,0.0,broken clouds
308,Chirilagua,SV,13.2203,-88.1386,82.15,77,86,1.07,overcast clouds
309,Ulladulla,AU,-35.35,150.4667,52.88,75,0,7.16,clear sky
310,Vao,NC,-22.6667,167.4833,66.31,62,18,15.55,few clouds
311,Lashio,MM,22.9333,97.75,68.56,100,100,1.45,overcast clouds
312,Artigas,UY,-30.4,-56.4667,65.48,66,39,4.38,scattered clouds
313,Jacareacanga,BR,-6.2222,-57.7528,93.81,44,100,2.15,overcast clouds
314,Tual,ID,-5.6667,132.75,80.06,83,81,18.52,broken clouds
315,Sayyan,YE,15.1718,44.3244,68.76,54,85,10.87,overcast clouds
316,Campbell River,CA,50.0163,-125.2446,70.27,71,40,0.0,scattered clouds
317,Nandaime,NI,11.757,-86.0529,85.06,63,68,8.25,broken clouds
318,Roald,NO,62.5833,6.1333,60.94,77,75,6.91,broken clouds
319,Yerbogachen,RU,61.2767,108.0108,59.49,83,82,1.7,broken clouds
320,Batouri,CM,4.4333,14.3667,77.41,86,58,1.41,light rain
321,Rusera,IN,25.75,86.0333,82.8,80,98,3.31,overcast clouds
322,Batagay,RU,67.6333,134.6333,42.06,92,92,2.37,overcast clouds
323,Dunedin,NZ,-45.8742,170.5036,49.8,47,73,15.01,broken clouds
324,Anadyr,RU,64.75,177.4833,55.9,88,0,2.24,clear sky
325,Cartagena Del Chaira,CO,1.3349,-74.8429,80.06,67,99,0.98,overcast clouds
326,Florianopolis,BR,-27.6146,-48.5012,61.83,77,75,5.75,light rain
327,Donskoye,RU,45.4552,41.9741,76.8,68,100,5.99,overcast clouds
328,Pundaguitan,PH,6.3711,126.1689,83.05,71,95,7.36,overcast clouds
329,Kitimat,CA,54.0524,-128.6534,65.91,92,100,1.99,light rain
330,Sept-Iles,CA,50.2001,-66.3821,65.25,97,90,7.0,mist
331,Zapolyarnyy,RU,69.4154,30.8136,56.48,65,92,7.38,overcast clouds
332,Aripuana,BR,-9.1667,-60.6333,97.92,21,72,2.75,broken clouds
333,Bandarbeyla,SO,9.4942,50.8122,77.02,84,60,32.06,broken clouds
334,Rawson,AR,-43.3002,-65.1023,55.02,57,44,12.28,scattered clouds
335,Meiganga,CM,6.5167,14.3,74.08,88,83,2.77,light rain
336,Fujin,CN,47.26,132.0322,64.62,54,86,5.46,overcast clouds
337,Asgabat,TM,37.95,58.3833,91.26,18,0,4.61,clear sky
338,Maceio,BR,-9.6658,-35.7353,78.24,78,75,10.36,broken clouds
339,Codrington,AU,-38.2667,141.9667,46.67,90,7,13.4,clear sky
340,Linhares,BR,-19.3911,-40.0722,85.12,40,53,4.38,broken clouds
341,Ilhabela,BR,-23.7781,-45.3581,66.54,92,99,10.13,overcast clouds
342,Havelock,US,34.8791,-76.9013,90.05,75,86,1.99,overcast clouds
343,Hillsboro,US,45.5229,-122.9898,74.53,76,1,3.44,smoke
344,Jiazi,CN,22.8779,116.067,80.11,88,100,8.99,overcast clouds
345,Kitgum,UG,3.2783,32.8867,65.16,95,95,6.06,heavy intensity rain
346,Rafai,CF,4.95,23.9167,75.51,78,93,2.89,light rain
347,Humboldt,US,40.6665,-123.9178,45.72,45,45,3.18,scattered clouds
348,Anchorage,US,61.2181,-149.9003,53.67,91,75,0.0,broken clouds
349,Murdochville,CA,48.9583,-65.5006,65.28,45,93,11.18,overcast clouds
